USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.9  0.0  25300 15288 ?        Ss   10:43   0:01 /sbin/init splash threadirqs
root         287  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/45-nvme0q4]
root         288  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u17:3-kvfree_rcu_reclaim]
root         289  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/46-ahci[0000:02:00.1]]
root         290  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_0]
root         291  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_0]
root         292  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_1]
root         293  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_1]
root         294  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_2]
root         295  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_2]
root         296  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_3]
root         297  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_3]
root         298  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_4]
root         299  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_4]
root         300  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_5]
root         301  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_5]
root         302  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_6]
root         303  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_6]
root         304  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_7]
root         305  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_7]
root         306  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/48-ahci[0000:0b:00.2]]
root         307  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:4-kvfree_rcu_reclaim]
root         308  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:5-flush-259:0]
root         309  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:6-events_unbound]
root         310  0.1  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:7-events_unbound]
root         311  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:8-events_unbound]
root         312  0.2  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:9-events_unbound]
root         313  0.0  0.0      0     0 ?        S    10:43   0:00 [scsi_eh_8]
root         314  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-scsi_tmf_8]
root         315  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:10-events_unbound]
root         316  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/49-xhci_hcd]
root         317  0.3  0.0      0     0 ?        S    10:43   0:00 [irq/51-xhci_hcd]
root         318  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:3-events]
root         319  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:4-events]
root         321  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-amdgpu-reset-dev]
root         322  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-ttm]
root         323  0.7  0.0      0     0 ?        S    10:43   0:00 [irq/53-amdgpu]
root         324  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         325  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         326  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         327  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-dm_vblank_control_workqueue]
